ts_code,symbol,exchange,pre_close,event_close,event_high,event_low,price_change_pct,vol_change_pct,earliest_date,name
002049.SZ,002049,SZ,39.45,40.8,41.85,38.52,3.4220532319391492,21.78290626387142,20170103,紫光国微
300180.SZ,300180,SZ,24.75,24.78,25.05,24.45,0.12121212121212581,3.8678980519357467,20170103,华峰超纤
000886.SZ,000886,SZ,7.38,7.8,7.98,7.29,5.691056910569105,75.51898818747762,20170103,海南高速
000892.SZ,000892,SZ,8.04,8.02,8.35,7.98,-0.24875621890546734,-15.77122359675246,20170103,欢瑞世纪
300194.SZ,300194,SZ,6.14,6.2,6.25,6.11,0.977198697068412,-24.88164610267577,20170103,福安药业
002713.SZ,002713,SZ,23.6,23.01,24.0,22.89,-2.499999999999999,-36.541398935072664,20170103,*ST东易
002061.SZ,002061,SZ,14.92,14.9,15.25,14.41,-0.1340482573726513,-13.447703009669954,20170103,浙江交科
000676.SZ,000676,SZ,14.34,14.76,15.08,14.16,2.928870292887029,32.98847915109264,20170124,智度股份
002707.SZ,002707,SZ,11.51,11.39,11.71,11.38,-1.0425716768027735,15.856693795300075,20170103,众信旅游
300625.SZ,300625,SZ,31.88,31.3,32.19,30.53,-1.8193224592220776,-5.910519497166502,20170317,三雄极光
300143.SZ,300143,SZ,30.3,30.45,30.64,29.87,0.4950495049504904,57.4146166582396,20170103,盈康生命
300157.SZ,300157,SZ,10.32,10.0,10.39,9.91,-3.1007751937984525,-8.097480347445611,20170103,新锦动力
300631.SZ,300631,SZ,27.9,29.34,29.87,27.81,5.16129032258065,65.87450054798005,20170323,久吾高科
300619.SZ,300619,SZ,58.93,65.89,65.89,58.01,11.810622772781269,14.31092983347591,20170301,金银河
002908.SZ,002908,SZ,28.31,37.68,37.68,31.14,33.09784528435182,67.86428764530955,20171020,德生科技
002883.SZ,002883,SZ,58.18,59.79,62.01,56.01,2.76727397731179,7.47670938622408,20170620,中设股份
002897.SZ,002897,SZ,44.08,47.28,47.87,44.08,7.259528130671514,96.98855494252996,20170907,意华股份
000058.SZ,000058,SZ,8.92,8.88,9.18,8.67,-0.44843049327353307,17.30013401331672,20170103,深 赛 格
002667.SZ,002667,SZ,17.61,18.58,19.63,17.47,5.508233957978415,44.57428682621576,20170103,威领股份
000070.SZ,000070,SZ,10.86,11.43,11.57,10.81,5.2486187845303895,38.65783495769664,20170103,特发信息
000716.SZ,000716,SZ,6.23,6.31,6.34,6.21,1.2841091492776755,-43.683701577217036,20170815,黑芝麻
002101.SZ,002101,SZ,21.74,21.95,22.15,21.61,0.9659613615455422,-59.14194282576207,20170103,广东鸿图
002115.SZ,002115,SZ,10.61,11.27,11.29,10.45,6.220546654099907,71.97195982696798,20170103,三维通信
000702.SZ,000702,SZ,8.14,8.37,8.37,8.14,2.825552825552809,-19.335064303376427,20170103,正虹科技
002673.SZ,002673,SZ,13.97,14.18,14.44,13.85,1.5032211882605517,5.127817484010188,20170103,西部证券
002840.SZ,002840,SZ,30.6,31.7,31.75,30.32,3.594771241830058,82.10287684715495,20170110,华统股份
002698.SZ,002698,SZ,11.14,11.3,11.59,11.07,1.4362657091561952,22.42225164533663,20170103,博实股份
000931.SZ,000931,SZ,7.21,7.28,7.4,7.2,0.9708737864077709,14.51640441764541,20170103,中 关 村
300037.SZ,300037,SZ,21.91,22.98,23.3,21.8,4.883614787768144,63.0521148882201,20170103,新宙邦
000925.SZ,000925,SZ,16.05,15.9,16.2,15.54,-0.9345794392523387,8.202922565171074,20170103,众合科技
000919.SZ,000919,SZ,9.92,10.02,10.08,9.9,1.0080645161290287,-34.892254410619366,20170103,金陵药业
